Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,priceXvol,Day_Perc_Change,Trend,typical,ma14,standardDeviation
2018-04-23,1073.81,1082.98,1088.0,1066.68,3480000.0,4,2018,3736858800.0,-0.00325808487728807,Slight or No change,1076.1633333333334,1047.8154761904764,24.87781957931011
2018-04-24,1022.64,1059.2,1064.49,1012.86,6410000.0,4,2018,6555122400.0,-0.047652750486585134,Slight or No change,1033.33,1048.792380952381,23.937641296042933
2018-04-25,1022.99,1029.75,1036.07,1017.01,2890000.0,4,2018,2956441100.0,0.0003422514276774091,Slight or No change,1025.3566666666666,1048.1428571428573,24.474101219962698
2018-04-26,1043.31,1033.22,1052.02,1020.45,2550000.0,4,2018,2660440500.0,0.019863341772646814,Slight or No change,1038.5933333333335,1049.656666666667,23.03967926236758
2018-04-27,1031.45,1045.54,1051.69,1027.59,2040000.0,4,2018,2104158000.0,-0.011367666369535344,Slight or No change,1036.9099999999999,1050.2959523809527,22.509415510625498
2018-04-30,1018.58,1034.42,1038.37,1018.3,1720000.0,4,2018,1751957600.0,-0.012477580105676456,Slight or No change,1025.0833333333333,1049.8704761904767,22.953312587295756
2018-05-01,1040.75,1016.3,1041.73,1010.61,1770000.0,5,2018,1842127500.0,0.02176559524043276,Slight or No change,1031.03,1050.179047619048,22.644972477579415
2018-05-02,1026.05,1034.0,1043.98,1023.16,1730000.0,5,2018,1775066500.0,-0.014124429497958226,Slight or No change,1031.0633333333333,1049.8266666666673,22.91936418622483
2018-05-03,1026.3,1025.37,1030.69,1007.89,1960000.0,5,2018,2011548000.0,0.00024365284342864332,Slight or No change,1021.6266666666667,1048.5340476190481,24.017037014833168
2018-05-04,1051.0,1019.61,1051.88,1018.05,1840000.0,5,2018,1933840000.0,0.02406703692877321,Slight or No change,1040.3100000000002,1048.2835714285718,24.088199808710673
2018-05-07,1059.46,1053.89,1065.0,1050.27,1720000.0,5,2018,1822271200.0,0.008049476688867685,Slight or No change,1058.2433333333333,1047.171190476191,23.160098703977273
2018-05-08,1058.59,1064.62,1065.23,1051.64,1300000.0,5,2018,1376167000.0,-0.0008211730504220638,Slight or No change,1058.4866666666667,1045.9223809523817,21.92628814559495
2018-05-09,1088.95,1064.1,1094.0,1062.11,2360000.0,5,2018,2569922000.0,0.02867965879141132,Slight or No change,1081.6866666666665,1045.6623809523817,21.439265655419653
2018-05-10,1105.47,1095.0,1109.41,1093.88,1820000.0,5,2018,2011955400.0,0.015170577161485843,Slight or No change,1102.92,1047.2002380952388,24.720296186102647
2018-05-11,1103.38,1100.41,1109.01,1097.22,1530000.0,5,2018,1688171400.0000002,-0.0018905985689343647,Slight or No change,1103.2033333333334,1049.1316666666673,27.996523860839375
2018-05-14,1106.6,1105.57,1118.15,1104.8,1970000.0,5,2018,2180002000.0,0.002918305570156932,Slight or No change,1109.85,1054.5973809523816,31.87506428828234
2018-05-15,1084.87,1096.9,1099.12,1078.78,1790000.0,5,2018,1941917300.0,-0.01963672510392189,Slight or No change,1087.59,1059.0426190476198,31.822957314979803
2018-05-16,1084.09,1085.09,1094.38,1081.63,1280000.0,5,2018,1387635200.0,-0.0007189801543041607,Slight or No change,1086.7,1062.4788095238102,32.04151360657318
2018-05-17,1081.26,1081.46,1091.0,1076.42,1290000.0,5,2018,1394825400.0,-0.002610484369378829,Slight or No change,1082.8933333333334,1065.763333333334,31.572282309905738
2018-05-18,1069.64,1066.0,1073.73,1064.68,1770000.0,5,2018,1893262800.0,-0.010746721417605245,Slight or No change,1069.3500000000001,1068.925238095239,29.321234005651018
2018-05-21,1084.01,1079.0,1093.3,1078.0,1260000.0,5,2018,1365852600.0,0.013434426536030664,Slight or No change,1085.1033333333335,1072.7876190476197,27.44698639688977
2018-05-22,1075.31,1089.8,1091.8,1072.26,1110000.0,5,2018,1193594100.0,-0.008025756219961155,Slight or No change,1079.79,1076.2680952380958,24.701147788629154
2018-05-23,1085.96,1070.0,1088.0,1066.96,1190000.0,5,2018,1292292400.0,0.009904120672178385,Slight or No change,1080.3066666666666,1080.4595238095246,19.04766983784452
2018-05-24,1085.45,1086.9,1087.12,1072.3,1030000.0,5,2018,1118013500.0,-0.00046963055729487557,Slight or No change,1081.6233333333332,1083.4104761904769,15.150615505092954
2018-05-25,1084.08,1086.55,1089.57,1082.6,1110000.0,5,2018,1203328800.0,-0.0012621493389839422,Slight or No change,1085.4166666666667,1085.3514285714293,13.306830307964004
2018-05-29,1068.07,1076.0,1081.34,1063.08,1800000.0,5,2018,1922526000.0,-0.01476828278355835,Slight or No change,1070.83,1086.233095238096,11.70209145338613
2018-05-30,1077.47,1073.48,1078.99,1066.55,1430000.0,5,2018,1540782100.0,0.008800921287930752,Slight or No change,1074.3366666666668,1085.708095238096,12.080507270883656
2018-05-31,1100.0,1082.0,1110.0,1078.0,3970000.0,5,2018,4367000000.0,0.0209100949446388,Slight or No change,1096.0,1085.2138095238101,11.447054400878423
2018-06-01,1135.0,1112.87,1138.16,1112.01,3160000.0,6,2018,3586600000.0,0.031818181818181746,Slight or No change,1128.39,1087.012857142858,15.686113781551686
2018-06-04,1153.04,1138.5,1157.86,1137.0,2240000.0,6,2018,2582809600.0,0.015894273127753378,Slight or No change,1149.3,1089.830714285715,22.267072550369004
2018-06-05,1151.02,1154.66,1161.1,1147.46,1650000.0,6,2018,1899183000.0,-0.0017518906542703938,Slight or No change,1153.1933333333334,1094.516666666667,27.939604308023547
2018-06-06,1146.95,1152.77,1154.71,1136.32,1750000.0,6,2018,2007162500.0,-0.003535994161700029,Slight or No change,1145.993333333333,1098.751904761905,30.990947691670975
2018-06-07,1134.42,1144.58,1145.87,1126.12,1810000.0,6,2018,2053300200.0,-0.01092462618248391,Slight or No change,1135.47,1102.5073809523815,32.08759491320367
2018-06-08,1132.71,1131.21,1138.78,1123.23,1360000.0,6,2018,1540485600.0,-0.001507378219707034,Slight or No change,1131.5733333333335,1106.9519047619053,31.444509493541894
2018-06-11,1140.9,1132.94,1147.74,1131.4,1240000.0,6,2018,1414716000.0,0.007230447334269251,Slight or No change,1140.0133333333335,1110.8740476190483,31.930424876345782
2018-06-12,1148.19,1141.02,1148.75,1141.02,1300000.0,6,2018,1492647000.0,0.006389692348146125,Slight or No change,1145.9866666666667,1115.6023809523815,31.874579358474644
2018-06-13,1144.23,1152.28,1155.64,1143.38,1720000.0,6,2018,1968075600.0,-0.0034489065398584096,Slight or No change,1147.7500000000002,1120.4197619047625,31.21961446413899
2018-06-14,1160.11,1152.21,1165.99,1150.6,1770000.0,6,2018,2053394700.0,0.013878328657699779,Slight or No change,1158.8999999999999,1125.9395238095244,30.658984513187008
2018-06-15,1159.27,1159.92,1163.91,1153.69,2220000.0,6,2018,2573579400.0,-0.0007240692692933592,Slight or No change,1158.9566666666667,1131.1923809523817,29.458429595567306
2018-06-18,1183.58,1152.69,1184.13,1151.0,1650000.0,6,2018,1952907000.0,0.02097009324833721,Slight or No change,1172.9033333333334,1138.483333333334,25.770231285592963
2018-06-19,1178.69,1170.11,1182.81,1161.61,2360000.0,6,2018,2781708400.0,-0.004131533145203425,Slight or No change,1174.3700000000001,1145.628571428572,19.790554628488888
2018-06-20,1184.07,1183.3,1201.49,1182.03,2580000.0,6,2018,3054900600.0,0.004564389279623882,Slight or No change,1189.1966666666667,1152.2854761904769,17.334805292886596
2018-06-21,1169.44,1185.51,1190.33,1163.48,2250000.0,6,2018,2631240000.0,-0.012355688430582544,Slight or No change,1174.4166666666667,1155.5730952380961,16.810982748333398
