Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,priceXvol,Day_Perc_Change,Trend
2019-01-17,1099.12,1087.99,1100.7,1083.26,1240000.0,1,2019,1362908799.9999998,0.008820478930895437,Slight or No change
2019-01-16,1089.51,1090.0,1102.36,1088.01,1910000.0,1,2019,2080964100.0,0.002761134273959742,Slight or No change
2019-01-15,1086.51,1058.01,1088.27,1054.44,1880000.0,1,2019,2042638800.0,0.033285465663664526,Slight or No change
2019-01-14,1051.51,1053.34,1058.45,1048.55,1420000.0,1,2019,1493144200.0,-0.012175073041043927,Slight or No change
2019-01-11,1064.47,1069.9,1073.37,1056.43,1540000.0,1,2019,1639283800.0,-0.013310716238888354,Slight or No change
2019-01-10,1078.83,1074.94,1079.81,1064.68,1330000.0,1,2019,1434843900.0,-0.0026071279988907348,Slight or No change
2019-01-09,1081.65,1087.99,1091.64,1074.37,1350000.0,1,2019,1460227500.0000002,-0.0034274026368885657,Slight or No change
2019-01-08,1085.37,1086.0,1093.35,1068.35,1770000.0,1,2019,1921104899.9999998,0.00878318090564334,Slight or No change
2019-01-07,1075.92,1080.97,1082.7,1062.64,2370000.0,1,2019,2549930400.0,-0.0019943046369900186,Slight or No change
2019-01-04,1078.07,1042.56,1080.0,1036.86,2300000.0,1,2019,2479561000.0,0.05129355319999607,Slight or No change
2019-01-03,1025.47,1050.67,1066.26,1022.37,2100000.0,1,2019,2153487000.0,-0.02769560435392726,Slight or No change
2019-01-02,1054.68,1027.2,1060.79,1025.28,1590000.0,1,2019,1676941200.0,0.009301791456132413,Slight or No change
2018-12-31,1044.96,1057.83,1062.99,1033.04,1660000.0,12,2018,1734633600.0,-0.0016432911682654483,Slight or No change
2018-12-28,1046.68,1059.5,1064.23,1042.0,1720000.0,12,2018,1800289600.0,-0.005907493589134782,Slight or No change
2018-12-27,1052.9,1026.2,1053.34,1007.0,2300000.0,12,2018,2421670000.0,0.004819392088562413,Slight or No change
2018-12-26,1047.85,997.99,1048.45,992.64,2320000.0,12,2018,2431012000.0,0.06416362842373591,Slight or No change
2018-12-24,984.67,984.32,1012.12,977.66,1820000.0,12,2018,1792099400.0,-0.006638083228247216,Slight or No change
2018-12-21,991.25,1032.04,1037.67,981.19,5230000.0,12,2018,5184237500.0,-0.03158522050059598,Slight or No change
2018-12-20,1023.58,1026.0,1047.44,1007.86,2680000.0,12,2018,2743194400.0,-0.011473161686593403,Slight or No change
2018-12-19,1035.46,1047.29,1075.71,1019.43,2910000.0,12,2018,3013188600.0,-0.007619248425834613,Slight or No change
2018-12-18,1043.41,1034.0,1059.69,1030.48,2180000.0,12,2018,2274633800.0,0.017315848486325836,Slight or No change
2018-12-17,1025.65,1047.01,1062.38,1016.63,2500000.0,12,2018,2564125000.0,-0.02477869374637487,Slight or No change
